# Constructed from biom file
#OTU ID	10317.example_participant
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	1.0391020782
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0.0375000750001
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism	0.0744001488003
ANAEROFRUCAT-PWY: homolactic fermentation	0.429900859802
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	1.0688021376
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.257200514401
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0.0444000888002
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.653101306203
ARGORNPROST-PWY: arginine, ornithine and proline interconversion	0.0162000324001
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.727601455203
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.504301008602
ARO-PWY: chorismate biosynthesis I	1.1552023104
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.455700911402
AST-PWY: L-arginine degradation II (AST pathway)	0.0213000426001
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.0978001956004
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.824601649203
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.925501851004
CENTFERM-PWY: pyruvate fermentation to butanoate	0.0157000314001
CITRULBIO-PWY: L-citrulline biosynthesis	0.130900261801
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	1.44830289661
COA-PWY: coenzyme A biosynthesis I	0.233400466801
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0.259700519401
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.233200466401
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	1.1282022564
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.187500375001
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.302600605201
