# Constructed from biom file
#OTU ID	10317.example_participant
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	10391.0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	375.0
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism	744.0
ANAEROFRUCAT-PWY: homolactic fermentation	4299.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	10688.0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	2572.0
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	444.0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	6531.0
ARGORNPROST-PWY: arginine, ornithine and proline interconversion	162.0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	7276.0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	5043.0
ARO-PWY: chorismate biosynthesis I	11552.0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	4557.0
AST-PWY: L-arginine degradation II (AST pathway)	213.0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	978.0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	8246.0
CALVIN-PWY: Calvin-Benson-Bassham cycle	9255.0
CENTFERM-PWY: pyruvate fermentation to butanoate	157.0
CITRULBIO-PWY: L-citrulline biosynthesis	1309.0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	14483.0
COA-PWY: coenzyme A biosynthesis I	2334.0
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	2597.0
COLANSYN-PWY: colanic acid building blocks biosynthesis	2332.0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	11282.0
DAPLYSINESYN-PWY: L-lysine biosynthesis I	1875.0
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	3026.0
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	6572.0
ECASYN-PWY: enterobacterial common antigen biosynthesis	388.0
ENTBACSYN-PWY: enterobactin biosynthesis	1179.0
FAO-PWY: fatty acid &beta;-oxidation I	818.0
FASYN-ELONG-PWY: fatty acid elongation -- saturated	790.0
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	527.0
FERMENTATION-PWY: mixed acid fermentation	831.0
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	2519.0
